year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2020,Mar,NAT_009,Yosemite National Park,8,177,262,21,2020-03-15
2020,Mar,NAT_010,Castle Clinton National Monument,0,0,0,0,2020-03-15
2020,Mar,NAT_011,Statue Of Liberty National Monument,2,94,0,5,2020-03-15
2020,Mar,NAT_012,Yellowstone National Park,9,83,15,47,2020-03-15
2020,Mar,NAT_013,San Francisco Maritime National Historical Park,2,10,0,1,2020-03-15
2020,Mar,NAT_014,Korean War Veterans Memorial,1,4,0,0,2020-03-15
2020,Mar,NAT_015,"Martin Luther King, Jr., Memorial",11,12,0,0,2020-03-15
2020,Mar,NAT_016,Acadia National Park,6,20,100,75,2020-03-15
2020,Mar,NAT_017,Grand Teton National Park,4,20,22,24,2020-03-15
2020,Mar,NAT_018,Chattahoochee River National Recreation Area,3,30,354,163,2020-03-15
2020,Mar,NAT_019,Delaware Water Gap National Recreation Area,2,65,424,54,2020-03-15
2020,Mar,NAT_020,Colonial National Historical Park,4,13,13,43,2020-03-15
2020,Mar,NAT_021,Franklin Delano Roosevelt Memorial,5,6,9,19,2020-03-15
2020,Mar,NAT_022,Olympic National Park,3,36,187,12,2020-03-15
2020,Mar,NAT_023,Boston National Historical Park,2,5,0,4,2020-03-15
2020,Mar,NAT_024,Thomas Jefferson Memorial,7,18,3,2,2020-03-15
2020,Mar,NAT_025,Glacier National Park,0,29,15,15,2020-03-15
2020,Mar,NAT_026,Joshua Tree National Park,18,55,366,117,2020-03-15
2020,Mar,NAT_027,Cape Hatteras National Seashore,11,23,2,78,2020-03-15
2020,Mar,NAT_028,Bryce Canyon National Park,9,37,140,18,2020-03-15
2020,Mar,NAT_029,Rock Creek Park,7,20,130,211,2020-03-15
2020,Mar,NAT_030,Assateague Island National Seashore,4,19,5,138,2020-03-15
2020,Mar,NAT_031,Valley Forge National Historical Park,4,21,184,125,2020-03-15
2020,Mar,NAT_032,Cuyahoga Valley National Park,5,35,681,287,2020-03-15
2020,Mar,NAT_033,Indiana Dunes National Park,3,12,121,92,2020-03-15
2020,Mar,NAT_034,Gateway Arch National Park,1,32,1,2,2020-03-15
2020,Mar,NAT_035,Mount Rushmore National Memorial,0,5,4,1,2020-03-15
2020,Mar,NAT_036,Canaveral National Seashore,1,7,1,76,2020-03-15
2020,Mar,NAT_037,Arches National Park,9,39,259,13,2020-03-15
2020,Mar,NAT_038,Sleeping Bear Dunes National Lakeshore,1,7,45,44,2020-03-15
2020,Mar,NAT_039,Custer National Forest,0,20,11,9,2020-03-15
2020,Mar,NAT_040,Gallatin National Forest,0,27,44,21,2020-03-15
2020,Mar,NAT_041,Helena National Forest,4,7,11,6,2020-03-15
2020,Mar,NAT_042,Humboldt-Toiyabe National Forest -  Spring Mountains NRA,0,12,100,13,2020-03-15
2020,Mar,NAT_043,Humboldt-Toiyabe National Forest - Outside Spring Mountains NRA,5,92,155,31,2020-03-15
2020,Mar,NAT_044,Lewis and Clark National Forest,3,5,5,3,2020-03-15
2020,Mar,NAT_045,Medicine Bow National Forest,0,9,11,15,2020-03-15
2020,Mar,NAT_046,Routt National Forest,3,15,33,8,2020-03-15
2020,Mar,NAT_047,Tongass National Forest-Juneau and Admiralty National Monument,1,12,14,43,2020-03-15
2020,Mar,NAT_048,"Tongass National Forest-Ketchikan Misty, Craig, and Thorne Bay",0,11,3,16,2020-03-15
2020,Mar,NAT_049,Tongass National Forest-Sitka and Hoonah,0,14,5,30,2020-03-15
2020,Mar,NAT_050,"Tongass National Forest-Yakutat, Petersburg, and Wrangell",0,2,0,2,2020-03-15
2020,Mar,NAT_051,White River National Forest,14,203,251,42,2020-03-15
2020,Mar,NAT_052,"Grand Mesa, Uncompahgre and Gunnison National Forests",4,32,17,21,2020-03-15
2020,Mar,NAT_053,Shoshone National Forest,4,26,2,10,2020-03-15
2020,Mar,NAT_054,Nebraska National Forest,0,3,1,9,2020-03-15
2020,Mar,NAT_055,San Juan National Forest,4,18,29,24,2020-03-15
2020,Mar,NAT_056,Black Hills National Forest,2,19,87,11,2020-03-15
2020,Mar,NAT_057,Bighorn National Forest,2,13,2,3,2020-03-15
2020,Mar,NAT_058,Pike and San Isabel National Forests,6,458,476,73,2020-03-15
2020,Mar,NAT_059,Carson National Forest,2,10,55,9,2020-03-15
2020,Mar,NAT_060,Cibola National Forest,1,14,358,187,2020-03-15
2020,Mar,NAT_061,Coronado National Forest,12,65,1041,1293,2020-03-15
2020,Mar,NAT_062,Lincoln National Forest,2,15,91,8,2020-03-15
2020,Mar,NAT_063,Gila National Forest,1,17,51,38,2020-03-15
2020,Mar,NAT_064,Prescott National Forest,5,15,220,50,2020-03-15
